,REPORT
61,1. there is a suspicious mass in the upper outer right breast at anterior depth.
62,1. there is a suspicious mass in the upper outer right breast at mid depth.
63,1. there is a suspicious mass in the upper outer right breast at posterior depth.
64,1. there is a suspicious mass in the upper inner right breast.
65,1. there is a suspicious mass in the upper inner right breast at anterior depth.
66,1. there is a suspicious mass in the upper inner right breast at mid depth.
67,1. there is a suspicious mass in the upper inner right breast at posterior depth.
68,1. there is a suspicious mass in the lower outer right breast.
69,1. there is a suspicious mass in the lower outer right breast at anterior depth.
70,1. there is a suspicious mass in the lower outer right breast at mid depth.
71,1. there is a suspicious mass in the lower outer right breast at posterior depth.
72,1. there is a suspicious mass in the lower inner right breast.
73,1. there is a suspicious mass in the lower inner right breast at anterior depth.
74,1. there is a suspicious mass in the lower inner right breast at mid depth.
75,1. there is a suspicious mass in the lower inner right breast at posterior depth.
76,1. there is a suspicious mass in the subareolar right breast.
77,1. there is a suspicious mass in the subareolar right breast at anterior depth.
78,1. there is a suspicious mass in the subareolar right breast at mid depth.
79,1. there is a suspicious mass in the subareolar right breast at posterior depth.
80,1. there is a possible mass in the  right breast.
81,1. there is a possible mass in the  right breast at anterior depth.
82,1. there is a possible mass in the  right breast at mid depth.
83,1. there is a possible mass in the  right breast at posterior depth.
84,1. there is a possible mass in the upper right breast.
85,1. there is a possible mass in the upper right breast at anterior depth.
86,1. there is a possible mass in the upper right breast at mid depth.
87,1. there is a possible mass in the upper right breast at posterior depth.
88,1. there is a possible mass in the lower right breast.
89,1. there is a possible mass in the lower right breast at anterior depth.
90,1. there is a possible mass in the lower right breast at mid depth.
91,1. there is a possible mass in the lower right breast at posterior depth.
92,1. there is a possible mass in the inner right breast.
93,1. there is a possible mass in the inner right breast at anterior depth.
94,1. there is a possible mass in the inner right breast at mid depth.
95,1. there is a possible mass in the inner right breast at posterior depth.
96,1. there is a possible mass in the outer right breast.
97,1. there is a possible mass in the outer right breast at anterior depth.
98,1. there is a possible mass in the outer right breast at mid depth.
99,1. there is a possible mass in the outer right breast at posterior depth.
100,1. there is a possible mass in the upper outer right breast.
101,1. there is a possible mass in the upper outer right breast at anterior depth.
102,1. there is a possible mass in the upper outer right breast at mid depth.
103,1. there is a possible mass in the upper outer right breast at posterior depth.
104,1. there is a possible mass in the upper inner right breast.
105,1. there is a possible mass in the upper inner right breast at anterior depth.
106,1. there is a possible mass in the upper inner right breast at mid depth.
107,1. there is a possible mass in the upper inner right breast at posterior depth.
108,1. there is a possible mass in the lower outer right breast.
109,1. there is a possible mass in the lower outer right breast at anterior depth.
110,1. there is a possible mass in the lower outer right breast at mid depth.
111,1. there is a possible mass in the lower outer right breast at posterior depth.
112,1. there is a possible mass in the lower inner right breast.
113,1. there is a possible mass in the lower inner right breast at anterior depth.
114,1. there is a possible mass in the lower inner right breast at mid depth.
115,1. there is a possible mass in the lower inner right breast at posterior depth.
116,1. there is a possible mass in the subareolar right breast.
117,1. there is a possible mass in the subareolar right breast at anterior depth.
118,1. there is a possible mass in the subareolar right breast at mid depth.
119,1. there is a possible mass in the subareolar right breast at posterior depth.
120,1. there is a questioned mass in the  right breast.
121,1. there is a questioned mass in the  right breast at anterior depth.
122,1. there is a questioned mass in the  right breast at mid depth.
123,1. there is a questioned mass in the  right breast at posterior depth.
124,1. there is a questioned mass in the upper right breast.
125,1. there is a questioned mass in the upper right breast at anterior depth.
126,1. there is a questioned mass in the upper right breast at mid depth.
127,1. there is a questioned mass in the upper right breast at posterior depth.
128,1. there is a questioned mass in the lower right breast.
129,1. there is a questioned mass in the lower right breast at anterior depth.
130,1. there is a questioned mass in the lower right breast at mid depth.
131,1. there is a questioned mass in the lower right breast at posterior depth.
132,1. there is a questioned mass in the inner right breast.
133,1. there is a questioned mass in the inner right breast at anterior depth.
134,1. there is a questioned mass in the inner right breast at mid depth.
135,1. there is a questioned mass in the inner right breast at posterior depth.
136,1. there is a questioned mass in the outer right breast.
137,1. there is a questioned mass in the outer right breast at anterior depth.
138,1. there is a questioned mass in the outer right breast at mid depth.
139,1. there is a questioned mass in the outer right breast at posterior depth.
140,1. there is a questioned mass in the upper outer right breast.
141,1. there is a questioned mass in the upper outer right breast at anterior depth.
142,1. there is a questioned mass in the upper outer right breast at mid depth.
143,1. there is a questioned mass in the upper outer right breast at posterior depth.
144,1. there is a questioned mass in the upper inner right breast.
145,1. there is a questioned mass in the upper inner right breast at anterior depth.
146,1. there is a questioned mass in the upper inner right breast at mid depth.
147,1. there is a questioned mass in the upper inner right breast at posterior depth.
148,1. there is a questioned mass in the lower outer right breast.
149,1. there is a questioned mass in the lower outer right breast at anterior depth.
150,1. there is a questioned mass in the lower outer right breast at mid depth.
151,1. there is a questioned mass in the lower outer right breast at posterior depth.
152,1. there is a questioned mass in the lower inner right breast.
153,1. there is a questioned mass in the lower inner right breast at anterior depth.
154,1. there is a questioned mass in the lower inner right breast at mid depth.
155,1. there is a questioned mass in the lower inner right breast at posterior depth.
156,1. there is a questioned mass in the subareolar right breast.
157,1. there is a questioned mass in the subareolar right breast at anterior depth.
158,1. there is a questioned mass in the subareolar right breast at mid depth.
159,1. there is a questioned mass in the subareolar right breast at posterior depth.
160,1. there is a questionable mass in the  right breast.
161,1. there is a questionable mass in the  right breast at anterior depth.
162,1. there is a questionable mass in the  right breast at mid depth.
163,1. there is a questionable mass in the  right breast at posterior depth.
164,1. there is a questionable mass in the upper right breast.
165,1. there is a questionable mass in the upper right breast at anterior depth.
166,1. there is a questionable mass in the upper right breast at mid depth.
167,1. there is a questionable mass in the upper right breast at posterior depth.
168,1. there is a questionable mass in the lower right breast.
169,1. there is a questionable mass in the lower right breast at anterior depth.
170,1. there is a questionable mass in the lower right breast at mid depth.
171,1. there is a questionable mass in the lower right breast at posterior depth.
172,1. there is a questionable mass in the inner right breast.
173,1. there is a questionable mass in the inner right breast at anterior depth.
174,1. there is a questionable mass in the inner right breast at mid depth.
175,1. there is a questionable mass in the inner right breast at posterior depth.
176,1. there is a questionable mass in the outer right breast.
177,1. there is a questionable mass in the outer right breast at anterior depth.
178,1. there is a questionable mass in the outer right breast at mid depth.
179,1. there is a questionable mass in the outer right breast at posterior depth.
180,1. there is a questionable mass in the upper outer right breast.
181,1. there is a questionable mass in the upper outer right breast at anterior depth.
182,1. there is a questionable mass in the upper outer right breast at mid depth.
183,1. there is a questionable mass in the upper outer right breast at posterior depth.
184,1. there is a questionable mass in the upper inner right breast.
185,1. there is a questionable mass in the upper inner right breast at anterior depth.
186,1. there is a questionable mass in the upper inner right breast at mid depth.
187,1. there is a questionable mass in the upper inner right breast at posterior depth.
188,1. there is a questionable mass in the lower outer right breast.
189,1. there is a questionable mass in the lower outer right breast at anterior depth.
190,1. there is a questionable mass in the lower outer right breast at mid depth.
191,1. there is a questionable mass in the lower outer right breast at posterior depth.
192,1. there is a questionable mass in the lower inner right breast.
193,1. there is a questionable mass in the lower inner right breast at anterior depth.
194,1. there is a questionable mass in the lower inner right breast at mid depth.
195,1. there is a questionable mass in the lower inner right breast at posterior depth.
196,1. there is a questionable mass in the subareolar right breast.
197,1. there is a questionable mass in the subareolar right breast at anterior depth.
198,1. there is a questionable mass in the subareolar right breast at mid depth.
199,1. there is a questionable mass in the subareolar right breast at posterior depth.
200,1. there is a obscured mass in the  right breast.
201,1. there is a obscured mass in the  right breast at anterior depth.
202,1. there is a obscured mass in the  right breast at mid depth.
203,1. there is a obscured mass in the  right breast at posterior depth.
204,1. there is a obscured mass in the upper right breast.
205,1. there is a obscured mass in the upper right breast at anterior depth.
206,1. there is a obscured mass in the upper right breast at mid depth.
207,1. there is a obscured mass in the upper right breast at posterior depth.
208,1. there is a obscured mass in the lower right breast.
209,1. there is a obscured mass in the lower right breast at anterior depth.
210,1. there is a obscured mass in the lower right breast at mid depth.
211,1. there is a obscured mass in the lower right breast at posterior depth.
212,1. there is a obscured mass in the inner right breast.
213,1. there is a obscured mass in the inner right breast at anterior depth.
214,1. there is a obscured mass in the inner right breast at mid depth.
215,1. there is a obscured mass in the inner right breast at posterior depth.
216,1. there is a obscured mass in the outer right breast.
217,1. there is a obscured mass in the outer right breast at anterior depth.
218,1. there is a obscured mass in the outer right breast at mid depth.
219,1. there is a obscured mass in the outer right breast at posterior depth.
220,1. there is a obscured mass in the upper outer right breast.
221,1. there is a obscured mass in the upper outer right breast at anterior depth.
222,1. there is a obscured mass in the upper outer right breast at mid depth.
223,1. there is a obscured mass in the upper outer right breast at posterior depth.
224,1. there is a obscured mass in the upper inner right breast.
225,1. there is a obscured mass in the upper inner right breast at anterior depth.
226,1. there is a obscured mass in the upper inner right breast at mid depth.
227,1. there is a obscured mass in the upper inner right breast at posterior depth.
228,1. there is a obscured mass in the lower outer right breast.
229,1. there is a obscured mass in the lower outer right breast at anterior depth.
230,1. there is a obscured mass in the lower outer right breast at mid depth.
231,1. there is a obscured mass in the lower outer right breast at posterior depth.
232,1. there is a obscured mass in the lower inner right breast.
233,1. there is a obscured mass in the lower inner right breast at anterior depth.
234,1. there is a obscured mass in the lower inner right breast at mid depth.
235,1. there is a obscured mass in the lower inner right breast at posterior depth.
236,1. there is a obscured mass in the subareolar right breast.
237,1. there is a obscured mass in the subareolar right breast at anterior depth.
238,1. there is a obscured mass in the subareolar right breast at mid depth.
239,1. there is a obscured mass in the subareolar right breast at posterior depth.
240,1. there is a indeterminant mass in the  right breast.
241,1. there is a indeterminant mass in the  right breast at anterior depth.
242,1. there is a indeterminant mass in the  right breast at mid depth.
243,1. there is a indeterminant mass in the  right breast at posterior depth.
244,1. there is a indeterminant mass in the upper right breast.
245,1. there is a indeterminant mass in the upper right breast at anterior depth.
246,1. there is a indeterminant mass in the upper right breast at mid depth.
247,1. there is a indeterminant mass in the upper right breast at posterior depth.
248,1. there is a indeterminant mass in the lower right breast.
249,1. there is a indeterminant mass in the lower right breast at anterior depth.
250,1. there is a indeterminant mass in the lower right breast at mid depth.
251,1. there is a indeterminant mass in the lower right breast at posterior depth.
252,1. there is a indeterminant mass in the inner right breast.
253,1. there is a indeterminant mass in the inner right breast at anterior depth.
254,1. there is a indeterminant mass in the inner right breast at mid depth.
255,1. there is a indeterminant mass in the inner right breast at posterior depth.
256,1. there is a indeterminant mass in the outer right breast.
257,1. there is a indeterminant mass in the outer right breast at anterior depth.
258,1. there is a indeterminant mass in the outer right breast at mid depth.
259,1. there is a indeterminant mass in the outer right breast at posterior depth.
260,1. there is a indeterminant mass in the upper outer right breast.
261,1. there is a indeterminant mass in the upper outer right breast at anterior depth.
262,1. there is a indeterminant mass in the upper outer right breast at mid depth.
263,1. there is a indeterminant mass in the upper outer right breast at posterior depth.
264,1. there is a indeterminant mass in the upper inner right breast.
265,1. there is a indeterminant mass in the upper inner right breast at anterior depth.
266,1. there is a indeterminant mass in the upper inner right breast at mid depth.
267,1. there is a indeterminant mass in the upper inner right breast at posterior depth.
268,1. there is a indeterminant mass in the lower outer right breast.
269,1. there is a indeterminant mass in the lower outer right breast at anterior depth.
270,1. there is a indeterminant mass in the lower outer right breast at mid depth.
271,1. there is a indeterminant mass in the lower outer right breast at posterior depth.
272,1. there is a indeterminant mass in the lower inner right breast.
273,1. there is a indeterminant mass in the lower inner right breast at anterior depth.
274,1. there is a indeterminant mass in the lower inner right breast at mid depth.
275,1. there is a indeterminant mass in the lower inner right breast at posterior depth.
276,1. there is a indeterminant mass in the subareolar right breast.
277,1. there is a indeterminant mass in the subareolar right breast at anterior depth.
278,1. there is a indeterminant mass in the subareolar right breast at mid depth.
279,1. there is a indeterminant mass in the subareolar right breast at posterior depth.
280,1. there is a irregular mass in the  right breast.
281,1. there is a irregular mass in the  right breast at anterior depth.
282,1. there is a irregular mass in the  right breast at mid depth.
283,1. there is a irregular mass in the  right breast at posterior depth.
284,1. there is a irregular mass in the upper right breast.
285,1. there is a irregular mass in the upper right breast at anterior depth.
286,1. there is a irregular mass in the upper right breast at mid depth.
287,1. there is a irregular mass in the upper right breast at posterior depth.
288,1. there is a irregular mass in the lower right breast.
289,1. there is a irregular mass in the lower right breast at anterior depth.
290,1. there is a irregular mass in the lower right breast at mid depth.
291,1. there is a irregular mass in the lower right breast at posterior depth.
292,1. there is a irregular mass in the inner right breast.
293,1. there is a irregular mass in the inner right breast at anterior depth.
294,1. there is a irregular mass in the inner right breast at mid depth.
295,1. there is a irregular mass in the inner right breast at posterior depth.
296,1. there is a irregular mass in the outer right breast.
297,1. there is a irregular mass in the outer right breast at anterior depth.
298,1. there is a irregular mass in the outer right breast at mid depth.
299,1. there is a irregular mass in the outer right breast at posterior depth.
300,1. there is a irregular mass in the upper outer right breast.
301,1. there is a irregular mass in the upper outer right breast at anterior depth.
302,1. there is a irregular mass in the upper outer right breast at mid depth.
303,1. there is a irregular mass in the upper outer right breast at posterior depth.
304,1. there is a irregular mass in the upper inner right breast.
305,1. there is a irregular mass in the upper inner right breast at anterior depth.
306,1. there is a irregular mass in the upper inner right breast at mid depth.
307,1. there is a irregular mass in the upper inner right breast at posterior depth.
308,1. there is a irregular mass in the lower outer right breast.
309,1. there is a irregular mass in the lower outer right breast at anterior depth.
310,1. there is a irregular mass in the lower outer right breast at mid depth.
311,1. there is a irregular mass in the lower outer right breast at posterior depth.
312,1. there is a irregular mass in the lower inner right breast.
313,1. there is a irregular mass in the lower inner right breast at anterior depth.
314,1. there is a irregular mass in the lower inner right breast at mid depth.
315,1. there is a irregular mass in the lower inner right breast at posterior depth.
316,1. there is a irregular mass in the subareolar right breast.
317,1. there is a irregular mass in the subareolar right breast at anterior depth.
318,1. there is a irregular mass in the subareolar right breast at mid depth.
319,1. there is a irregular mass in the subareolar right breast at posterior depth.
320,1. there is a spiculated mass in the  right breast.
321,1. there is a spiculated mass in the  right breast at anterior depth.
322,1. there is a spiculated mass in the  right breast at mid depth.
323,1. there is a spiculated mass in the  right breast at posterior depth.
324,1. there is a spiculated mass in the upper right breast.
325,1. there is a spiculated mass in the upper right breast at anterior depth.
326,1. there is a spiculated mass in the upper right breast at mid depth.
327,1. there is a spiculated mass in the upper right breast at posterior depth.
328,1. there is a spiculated mass in the lower right breast.
329,1. there is a spiculated mass in the lower right breast at anterior depth.
330,1. there is a spiculated mass in the lower right breast at mid depth.
331,1. there is a spiculated mass in the lower right breast at posterior depth.
332,1. there is a spiculated mass in the inner right breast.
333,1. there is a spiculated mass in the inner right breast at anterior depth.
334,1. there is a spiculated mass in the inner right breast at mid depth.
335,1. there is a spiculated mass in the inner right breast at posterior depth.
336,1. there is a spiculated mass in the outer right breast.
337,1. there is a spiculated mass in the outer right breast at anterior depth.
338,1. there is a spiculated mass in the outer right breast at mid depth.
339,1. there is a spiculated mass in the outer right breast at posterior depth.
340,1. there is a spiculated mass in the upper outer right breast.
341,1. there is a spiculated mass in the upper outer right breast at anterior depth.
342,1. there is a spiculated mass in the upper outer right breast at mid depth.
343,1. there is a spiculated mass in the upper outer right breast at posterior depth.
344,1. there is a spiculated mass in the upper inner right breast.
345,1. there is a spiculated mass in the upper inner right breast at anterior depth.
346,1. there is a spiculated mass in the upper inner right breast at mid depth.
347,1. there is a spiculated mass in the upper inner right breast at posterior depth.
348,1. there is a spiculated mass in the lower outer right breast.
349,1. there is a spiculated mass in the lower outer right breast at anterior depth.
350,1. there is a spiculated mass in the lower outer right breast at mid depth.
351,1. there is a spiculated mass in the lower outer right breast at posterior depth.
352,1. there is a spiculated mass in the lower inner right breast.
353,1. there is a spiculated mass in the lower inner right breast at anterior depth.
354,1. there is a spiculated mass in the lower inner right breast at mid depth.
355,1. there is a spiculated mass in the lower inner right breast at posterior depth.
356,1. there is a spiculated mass in the subareolar right breast.
357,1. there is a spiculated mass in the subareolar right breast at anterior depth.
358,1. there is a spiculated mass in the subareolar right breast at mid depth.
359,1. there is a spiculated mass in the subareolar right breast at posterior depth.
360,1. there is a new mass in the  right breast.
361,1. there is a new mass in the  right breast at anterior depth.
362,1. there is a new mass in the  right breast at mid depth.
363,1. there is a new mass in the  right breast at posterior depth.
364,1. there is a new mass in the upper right breast.
365,1. there is a new mass in the upper right breast at anterior depth.
366,1. there is a new mass in the upper right breast at mid depth.
367,1. there is a new mass in the upper right breast at posterior depth.
368,1. there is a new mass in the lower right breast.
369,1. there is a new mass in the lower right breast at anterior depth.
370,1. there is a new mass in the lower right breast at mid depth.
371,1. there is a new mass in the lower right breast at posterior depth.
372,1. there is a new mass in the inner right breast.
373,1. there is a new mass in the inner right breast at anterior depth.
374,1. there is a new mass in the inner right breast at mid depth.
375,1. there is a new mass in the inner right breast at posterior depth.
376,1. there is a new mass in the outer right breast.
377,1. there is a new mass in the outer right breast at anterior depth.
378,1. there is a new mass in the outer right breast at mid depth.
379,1. there is a new mass in the outer right breast at posterior depth.
380,1. there is a new mass in the upper outer right breast.
381,1. there is a new mass in the upper outer right breast at anterior depth.
382,1. there is a new mass in the upper outer right breast at mid depth.
383,1. there is a new mass in the upper outer right breast at posterior depth.
384,1. there is a new mass in the upper inner right breast.
385,1. there is a new mass in the upper inner right breast at anterior depth.
386,1. there is a new mass in the upper inner right breast at mid depth.
387,1. there is a new mass in the upper inner right breast at posterior depth.
388,1. there is a new mass in the lower outer right breast.
389,1. there is a new mass in the lower outer right breast at anterior depth.
390,1. there is a new mass in the lower outer right breast at mid depth.
391,1. there is a new mass in the lower outer right breast at posterior depth.
392,1. there is a new mass in the lower inner right breast.
393,1. there is a new mass in the lower inner right breast at anterior depth.
394,1. there is a new mass in the lower inner right breast at mid depth.
395,1. there is a new mass in the lower inner right breast at posterior depth.
396,1. there is a new mass in the subareolar right breast.
397,1. there is a new mass in the subareolar right breast at anterior depth.
398,1. there is a new mass in the subareolar right breast at mid depth.
399,1. there is a new mass in the subareolar right breast at posterior depth.
400,1. there is a  mass in the  left breast.
401,1. there is a  mass in the  left breast at anterior depth.
402,1. there is a  mass in the  left breast at mid depth.
403,1. there is a  mass in the  left breast at posterior depth.
404,1. there is a  mass in the upper left breast.
405,1. there is a  mass in the upper left breast at anterior depth.
406,1. there is a  mass in the upper left breast at mid depth.
407,1. there is a  mass in the upper left breast at posterior depth.
408,1. there is a  mass in the lower left breast.
409,1. there is a  mass in the lower left breast at anterior depth.
410,1. there is a  mass in the lower left breast at mid depth.
411,1. there is a  mass in the lower left breast at posterior depth.
412,1. there is a  mass in the inner left breast.
413,1. there is a  mass in the inner left breast at anterior depth.
414,1. there is a  mass in the inner left breast at mid depth.
415,1. there is a  mass in the inner left breast at posterior depth.
416,1. there is a  mass in the outer left breast.
417,1. there is a  mass in the outer left breast at anterior depth.
418,1. there is a  mass in the outer left breast at mid depth.
419,1. there is a  mass in the outer left breast at posterior depth.
420,1. there is a  mass in the upper outer left breast.
421,1. there is a  mass in the upper outer left breast at anterior depth.
422,1. there is a  mass in the upper outer left breast at mid depth.
423,1. there is a  mass in the upper outer left breast at posterior depth.
424,1. there is a  mass in the upper inner left breast.
425,1. there is a  mass in the upper inner left breast at anterior depth.
426,1. there is a  mass in the upper inner left breast at mid depth.
427,1. there is a  mass in the upper inner left breast at posterior depth.
428,1. there is a  mass in the lower outer left breast.
429,1. there is a  mass in the lower outer left breast at anterior depth.
430,1. there is a  mass in the lower outer left breast at mid depth.
431,1. there is a  mass in the lower outer left breast at posterior depth.
432,1. there is a  mass in the lower inner left breast.
433,1. there is a  mass in the lower inner left breast at anterior depth.
434,1. there is a  mass in the lower inner left breast at mid depth.
435,1. there is a  mass in the lower inner left breast at posterior depth.
436,1. there is a  mass in the subareolar left breast.
437,1. there is a  mass in the subareolar left breast at anterior depth.
438,1. there is a  mass in the subareolar left breast at mid depth.
439,1. there is a  mass in the subareolar left breast at posterior depth.
440,1. there is a suspicious mass in the  left breast.
441,1. there is a suspicious mass in the  left breast at anterior depth.
442,1. there is a suspicious mass in the  left breast at mid depth.
443,1. there is a suspicious mass in the  left breast at posterior depth.
444,1. there is a suspicious mass in the upper left breast.
445,1. there is a suspicious mass in the upper left breast at anterior depth.
446,1. there is a suspicious mass in the upper left breast at mid depth.
447,1. there is a suspicious mass in the upper left breast at posterior depth.
448,1. there is a suspicious mass in the lower left breast.
449,1. there is a suspicious mass in the lower left breast at anterior depth.
450,1. there is a suspicious mass in the lower left breast at mid depth.
451,1. there is a suspicious mass in the lower left breast at posterior depth.
452,1. there is a suspicious mass in the inner left breast.
453,1. there is a suspicious mass in the inner left breast at anterior depth.
454,1. there is a suspicious mass in the inner left breast at mid depth.
455,1. there is a suspicious mass in the inner left breast at posterior depth.
456,1. there is a suspicious mass in the outer left breast.
457,1. there is a suspicious mass in the outer left breast at anterior depth.
458,1. there is a suspicious mass in the outer left breast at mid depth.
459,1. there is a suspicious mass in the outer left breast at posterior depth.
460,1. there is a suspicious mass in the upper outer left breast.
461,1. there is a suspicious mass in the upper outer left breast at anterior depth.
462,1. there is a suspicious mass in the upper outer left breast at mid depth.
463,1. there is a suspicious mass in the upper outer left breast at posterior depth.
464,1. there is a suspicious mass in the upper inner left breast.
465,1. there is a suspicious mass in the upper inner left breast at anterior depth.
466,1. there is a suspicious mass in the upper inner left breast at mid depth.
467,1. there is a suspicious mass in the upper inner left breast at posterior depth.
468,1. there is a suspicious mass in the lower outer left breast.
469,1. there is a suspicious mass in the lower outer left breast at anterior depth.
470,1. there is a suspicious mass in the lower outer left breast at mid depth.
471,1. there is a suspicious mass in the lower outer left breast at posterior depth.
472,1. there is a suspicious mass in the lower inner left breast.
473,1. there is a suspicious mass in the lower inner left breast at anterior depth.
474,1. there is a suspicious mass in the lower inner left breast at mid depth.
475,1. there is a suspicious mass in the lower inner left breast at posterior depth.
476,1. there is a suspicious mass in the subareolar left breast.
477,1. there is a suspicious mass in the subareolar left breast at anterior depth.
478,1. there is a suspicious mass in the subareolar left breast at mid depth.
479,1. there is a suspicious mass in the subareolar left breast at posterior depth.
480,1. there is a possible mass in the  left breast.
481,1. there is a possible mass in the  left breast at anterior depth.
482,1. there is a possible mass in the  left breast at mid depth.
483,1. there is a possible mass in the  left breast at posterior depth.
484,1. there is a possible mass in the upper left breast.
485,1. there is a possible mass in the upper left breast at anterior depth.
486,1. there is a possible mass in the upper left breast at mid depth.
487,1. there is a possible mass in the upper left breast at posterior depth.
488,1. there is a possible mass in the lower left breast.
489,1. there is a possible mass in the lower left breast at anterior depth.
490,1. there is a possible mass in the lower left breast at mid depth.
491,1. there is a possible mass in the lower left breast at posterior depth.
492,1. there is a possible mass in the inner left breast.
493,1. there is a possible mass in the inner left breast at anterior depth.
494,1. there is a possible mass in the inner left breast at mid depth.
495,1. there is a possible mass in the inner left breast at posterior depth.
496,1. there is a possible mass in the outer left breast.
497,1. there is a possible mass in the outer left breast at anterior depth.
498,1. there is a possible mass in the outer left breast at mid depth.
499,1. there is a possible mass in the outer left breast at posterior depth.
500,1. there is a possible mass in the upper outer left breast.
501,1. there is a possible mass in the upper outer left breast at anterior depth.
502,1. there is a possible mass in the upper outer left breast at mid depth.
503,1. there is a possible mass in the upper outer left breast at posterior depth.
504,1. there is a possible mass in the upper inner left breast.
505,1. there is a possible mass in the upper inner left breast at anterior depth.
506,1. there is a possible mass in the upper inner left breast at mid depth.
507,1. there is a possible mass in the upper inner left breast at posterior depth.
508,1. there is a possible mass in the lower outer left breast.
509,1. there is a possible mass in the lower outer left breast at anterior depth.
510,1. there is a possible mass in the lower outer left breast at mid depth.
511,1. there is a possible mass in the lower outer left breast at posterior depth.
512,1. there is a possible mass in the lower inner left breast.
513,1. there is a possible mass in the lower inner left breast at anterior depth.
514,1. there is a possible mass in the lower inner left breast at mid depth.
515,1. there is a possible mass in the lower inner left breast at posterior depth.
516,1. there is a possible mass in the subareolar left breast.
517,1. there is a possible mass in the subareolar left breast at anterior depth.
518,1. there is a possible mass in the subareolar left breast at mid depth.
519,1. there is a possible mass in the subareolar left breast at posterior depth.
520,1. there is a questioned mass in the  left breast.
521,1. there is a questioned mass in the  left breast at anterior depth.
522,1. there is a questioned mass in the  left breast at mid depth.
523,1. there is a questioned mass in the  left breast at posterior depth.
524,1. there is a questioned mass in the upper left breast.
525,1. there is a questioned mass in the upper left breast at anterior depth.
526,1. there is a questioned mass in the upper left breast at mid depth.
527,1. there is a questioned mass in the upper left breast at posterior depth.
528,1. there is a questioned mass in the lower left breast.
529,1. there is a questioned mass in the lower left breast at anterior depth.
530,1. there is a questioned mass in the lower left breast at mid depth.
531,1. there is a questioned mass in the lower left breast at posterior depth.
532,1. there is a questioned mass in the inner left breast.
533,1. there is a questioned mass in the inner left breast at anterior depth.
534,1. there is a questioned mass in the inner left breast at mid depth.
535,1. there is a questioned mass in the inner left breast at posterior depth.
536,1. there is a questioned mass in the outer left breast.
537,1. there is a questioned mass in the outer left breast at anterior depth.
538,1. there is a questioned mass in the outer left breast at mid depth.
539,1. there is a questioned mass in the outer left breast at posterior depth.
